지역,병원명,주소,위도,경도
광주,박소아과의원,"1274-8 Yongbong-dong, Buk-gu",35.179433,126.9155946
광주,봉선드림소아청소년과,"Gwangju, South Korea",35.1239556,126.9078797
광주,이소아과의원,"598-1 Suseong-dong, Jeongeup-si",35.5684966,126.8532852
광주,예사랑소아과,"294-17 Jinwol-dong, Nam-gu",35.121717,126.899042
광주,현대소아과,"919-6 Suseong-dong, Jeongeup-si",35.5818839,126.8549791
광주,위드유소아청소년과의원,"1059 Imbangul-daero, Buk-gu",35.2120491,126.8732019
광주,목포한사랑병원,"335 Baengnyeon-daero, Mokpo-si",34.8057779,126.4236824
광주,박영경소아과의원,"728-14 Hwajeong-dong, Seo-gu",35.1473529,126.8845984
광주,문대근소아과의원,"1269-4 Yeonsan-dong, Mokpo-si",34.8108291,126.382043
광주,우리아이소아청소년과,"Gwangju, South Korea",35.129917,126.9293502
광주,예쁜소아과의원,"Gwangju, South Korea",35.1624354,126.9372874
대전,엔젤소아청소년과,26 신관동 Gongju-si,36.4740594,127.1411783
대전,Tori Children and Adolescent Clinic,"Seo-gu, Cheongsa-ro, 130 프라자 401호",36.35947,127.3783153
대전,꿈꾸는 김선생 의원,"322 Nambu-daero, Dongnam-gu, Cheonan-si",36.7813782,127.1527046
대전,임소아과의원,"68-22 Banwol-dong, Nonsan-si",36.2053408,127.0855242
대전,정소아청소년과의원,"632 Yonghwa-dong, Asan-si",36.7762703,126.9967396
대전,성심소아과의원,"Daejeon, South Korea",36.3181105,127.3972413
대전,정소아과의원,"182-2 Eomsa-ri, Eomsa-myeon, Gyeryong-si",36.289139,127.242368
대전,Dream Children and Adolescent Clinic,"Daejeon, South Korea",36.35489159999999,127.4492506
대전,이청소년소아과의원,Cheongju,36.6207983,127.5154161
대전,김용석소아과의원,"Daejeon, South Korea",36.3537849,127.3954788
대전,이영두소아과의원,"140-11 사창동 Heungdeok-gu, Cheongju-si",36.6350456,127.4583101
대전,서울소아청소년과의원,"644-1 Gao-dong, Dong-gu",36.3064741,127.4567359
대전,을지소아과,"52-107 Mok-dong, Jung-gu",36.3378028,127.4088508
대전,연세소아과,"2 Sijang-gil 25beon-gil, Asan-si",36.7832746,127.0039398
대전,도안키즈소아청소년과의원,"8-2 Sangdae-dong, Yuseong District",36.34599499999999,127.3394405
대전,신소아과,"38 Donghak-ro, Samnye-eup, Wanju-gun",35.9110149,127.0748108
대전,미소소아청소년과,"Cheongju-si, Heungdeok-gu, Daenong-ro, 48, LK Tower Building, 303호",36.6416776,127.4276044
대전,송수호소아과,"67-7 Banwol-dong, Nonsan-si",36.2052575,127.0849131
대전,웰키즈소아청소년과,"Asan-si, 풍기동 229-20번지 1층",36.7737019,127.0158703
대전,잎소아청소년과의원,"262 Gongsu-ri, Baebang-eup, Asan-si",36.7720516,127.0552941
울산,이경민소아과의원,"Ulsan, South Korea",35.5385163,129.3031658
울산,이영진소아과의원,"10-4 Jurye-dong, Sasang-gu",35.1538898,129.013287
울산,신은주소아과의원,"246 Geojecheon-ro, Yeonje-gu",35.1919662,129.0838112
울산,이창무소아과의원,"1407-2 Jwa-dong, Haeundae-gu",35.1781399,129.1752712
울산,신소아과의원,"323-1 Sincheon-dong, Buk-gu",35.6323117,129.3508531
울산,길메리의원,"43-4 Bosu-dong 2(i)-ga, Jung-gu",35.1065622,129.0228985
울산,미래연합 소아청소년과의원,"460 Gaya-daero, Busanjin District",35.1529739,129.0223999
울산,서울아동병원,"5 Beonhwa 1-ro 80beon-gil, 장유면 Gimhae-si",35.194712,128.8000295
울산,김옥영 소아청소년과,"Geumjeong-gu, 부곡제3동 223-4 4층",35.23933040000001,129.0906885
울산,송준영내과소아청소년과의원,"801 Jungang-daero, Busanjin District",35.1634201,129.0633015
울산,김은정소아과의원,"Ulsan, South Korea",35.5537377,129.355105
울산,아이나래소아청소년과의원,"5 Sisil-ro 24beon-gil, Dongnae-gu",35.2151877,129.0873524
울산,이강우소아청소년과의원,"Buk-gu, Jungsan-dong, 로 25 이안빌딩 4층",35.6532347,129.351593
울산,전윤숙소아청소년과의원,"54 Daeyeong-ro, Seo-gu",35.1096606,129.0173496
울산,이&훈소아청소년과의원,"Gimhae-si, Samgyejungang-ro, 22 201 호",35.2601443,128.8675486
울산,문소아청소년과의원,35-1 사직제2동 Dongnae-gu,35.1973021,129.0573372
울산,울산연합 소아청소년과의원,"Dong-gu, Bangeojinsunhwando-ro, 652 D동 3층",35.4997996,129.4293738
울산,김광순소아과의원,207-63 전포제1동 Busanjin District,35.1575014,129.0656986
울산,백상호소아과의원,"462-32 Bukbu-dong, Yangsan-si",35.3438955,129.0348075
울산,키우리소아과의원,"356-5 Angol-dong, Jinhae-gu, Changwon-si",35.1010311,128.8060577
세종,서울소아청소년과의원,"644-1 Gao-dong, Dong-gu",36.3064741,127.4567359
세종,꿈꾸는 김선생 의원,"322 Nambu-daero, Dongnam-gu, Cheonan-si",36.7813782,127.1527046
세종,정소아과의원,"182-2 Eomsa-ri, Eomsa-myeon, Gyeryong-si",36.289139,127.242368
세종,이영두소아과의원,"140-11 사창동 Heungdeok-gu, Cheongju-si",36.6350456,127.4583101
세종,미소소아청소년과,"Cheongju-si, Heungdeok-gu, Daenong-ro, 48, LK Tower Building, 303호",36.6416776,127.4276044
세종,이혜영소아과,"1229 성정2동 Seobuk-gu, Cheonan-si",36.82837749999999,127.1334194
세종,김용석소아과의원,"Daejeon, South Korea",36.3537849,127.3954788
세종,별소아청소년과의원,"Eumseong-gun, Maengdong-myeon, Wonjung-ro, 1438 402호",36.9096913,127.5406453
세종,도안키즈소아청소년과의원,"8-2 Sangdae-dong, Yuseong District",36.34599499999999,127.3394405
세종,이청소년소아과의원,Cheongju,36.6207983,127.5154161
세종,임소아과의원,"68-22 Banwol-dong, Nonsan-si",36.2053408,127.0855242
세종,송수호소아과,"67-7 Banwol-dong, Nonsan-si",36.2052575,127.0849131
세종,을지소아과,"52-107 Mok-dong, Jung-gu",36.3378028,127.4088508
세종,성심소아과의원,"Daejeon, South Korea",36.3181105,127.3972413
세종,길태환소아청소년과의원,"30 Saedeul 2-gil, Dong-gu",36.3261657,127.4426929
세종,이진석소아청소년과의원,"Cheongju-si, Sannam-dong, 502 KR",36.6115466,127.4699328
세종,우리청소년소아과,"Cheongju-si, Sangdang-gu, Seongan-dong, 2 36°37'52. 127°28'06.0""E",36.63117099999999,127.468343
세종,Tori Children and Adolescent Clinic,"Seo-gu, Cheongsa-ro, 130 프라자 401호",36.35947,127.3783153
세종,이문숙소아과의원,"540 Wolpyeong-dong, Seo-gu",36.3578829,127.3641601
세종,참좋은 소아청소년과,"610-3 Seokbong-dong, Daedeok-gu",36.4493719,127.4197849
경기,강남연세소아과의원,"755 Yeoksam-dong, Gangnam District",37.4991554,127.048409
경기,Yonsei University Clinic,"5-2 Nuha-dong, Jongno District",37.5804371,126.9688104
경기,송영명소아과의원,"5 Seolleung-ro 10-gil, Gangnam District",37.4833196,127.0606703
경기,홍진희소아과,Suwon,37.2465429,127.0576296
경기,하늘소아과의원,"970-5 영통2동 Yeongtong-gu, Suwon-si",37.2485776,127.0666255
경기,GF(지에프)소아청소년과의원,"118 Dongjak-daero, Seocho District",37.4869655,126.9827324
경기,김현중소아과의원,"Hagye-dong, Nowon-gu",37.63586129999999,127.0686809
경기,김선영소아과의원,"19-98 Donam-dong, Seongbuk District",37.5988928,127.0220754
경기,청담고은아이소아과,"46-20 Cheongdam-dong, Gangnam District",37.5187641,127.0481029
경기,노소아과의원,"230 Seochojungang-ro, Seocho District",37.5022526,127.0119876
경기,연세곰돌이소아청소년과,"Seocho District, Donggwang-ro, 77 넥센강남타워 파맥스프라자 3층",37.493319,126.9904622
경기,이소아과의원,451-18 암사제3동 Gangdong-gu,37.5553724,127.1365933
경기,강소아과의원,"773-1 Majang-dong, Seongdong-gu",37.565786,127.0416578
경기,양의종소아과의원,"210 Ssangmun-dong, Dobong-gu",37.6581357,127.0324616
경기,최재민소아과,"2615 Nambusunhwan-ro, Gangnam District",37.4851386,127.0358583
경기,서울김정아소아과,"36-14 Bongcheon-dong, Gwanak-gu",37.4849055,126.9563073
경기,서소아과의원,"635-28 Jayang-dong, Gwangjin District",37.5320131,127.0799883
경기,박현수소아과의원,45-13 자양제4동 Gwangjin District,37.5358179,127.0653785
경기,현대소아과의원,"336 Jangan-dong, Dongdaemun District",37.569675,127.0745989
경기,해맑은소아과,"47-19 Guui-dong, Gwangjin District",37.5512887,127.0920977
강원,이현철소아과의원,"1498-6 Joyang-dong, Sokcho-si",38.1895163,128.5804336
강원,심소아청소년과의원,"609 Chuncheonsunhwan-ro, Dong-myeon, Chuncheon-si",37.8930594,127.7558077
강원,송소아과의원,"1503-1 Joyang-dong, Sokcho-si",38.1893072,128.5834342
